,season,round,raceName,circuitId,circuitName,lat,long,locality,country,date,sprint,url
640,1999,11,Hungarian Grand Prix,hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,1999-08-15,,http://en.wikipedia.org/wiki/1999_Hungarian_Grand_Prix
641,1999,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,1999-08-29,,http://en.wikipedia.org/wiki/1999_Belgian_Grand_Prix
642,1999,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,1999-09-12,,http://en.wikipedia.org/wiki/1999_Italian_Grand_Prix
643,1999,14,European Grand Prix,nurburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,1999-09-26,,http://en.wikipedia.org/wiki/1999_European_Grand_Prix
644,1999,15,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Kuala Lumpur,Malaysia,1999-10-17,,http://en.wikipedia.org/wiki/1999_Malaysian_Grand_Prix
645,1999,16,Japanese Grand Prix,suzuka,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,1999-10-31,,http://en.wikipedia.org/wiki/1999_Japanese_Grand_Prix
646,2000,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2000-03-12,,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
647,2000,2,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil,2000-03-26,,http://en.wikipedia.org/wiki/2000_Brazilian_Grand_Prix
648,2000,3,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy,2000-04-09,,http://en.wikipedia.org/wiki/2000_San_Marino_Grand_Prix
649,2000,4,British Grand Prix,silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,2000-04-23,,http://en.wikipedia.org/wiki/2000_British_Grand_Prix
